gen 0	best -336.973	worst -721.902
gen 1	best -222.967	worst -703.198
gen 2	best -215.681	worst -1103.56
gen 3	best -109.725	worst -920.228
gen 4	best -195.146	worst -896.575
gen 5	best -115.693	worst -906.907
gen 6	best -55.3886	worst -896.022
gen 7	best -275.461	worst -1033.62
gen 8	best -95.3058	worst -865.157
gen 9	best -92.1434	worst -641.368
gen 10	best -124.908	worst -846.037
gen 11	best -395.561	worst -920.105
gen 12	best -93.0421	worst -1068.46
gen 13	best -328.484	worst -857.271
gen 14	best -87.1442	worst -649.149
gen 15	best -162.325	worst -744.103
gen 16	best -119.568	worst -860.747
gen 17	best -167.424	worst -783.987
gen 18	best -41.1242	worst -886.746
gen 19	best -301.228	worst -1039
gen 20	best -329.058	worst -877.526
gen 21	best -148.064	worst -936.996
gen 22	best -191.398	worst -1139.25
gen 23	best -148.68	worst -817.614
gen 24	best -98.936	worst -1079.12
gen 25	best -208.205	worst -815.804
gen 26	best -141.835	worst -653.242
gen 27	best -157.836	worst -1001.02
gen 28	best -339.845	worst -714.895
gen 29	best -147.554	worst -727.927
gen 30	best -120.233	worst -704.839
gen 31	best -332.355	worst -907.412
gen 32	best -254.006	worst -781.918
gen 33	best -135.717	worst -849.163
gen 34	best -150.305	worst -897.786
gen 35	best -81.6013	worst -902.251
gen 36	best -93.7367	worst -947.514
gen 37	best -255.087	worst -1181.99
gen 38	best -166.05	worst -1089.7
gen 39	best -114.912	worst -1114.94
gen 40	best -105.453	worst -837.491
gen 41	best -322.219	worst -1203.06
gen 42	best -189.105	worst -948.731
gen 43	best -184.83	worst -877.34
gen 44	best -180.206	worst -705.604
gen 45	best -75.4017	worst -962.543
gen 46	best -108.453	worst -833.163
gen 47	best -268.994	worst -709.591
gen 48	best -118.984	worst -785.335
gen 49	best -521.473	worst -1020.72
gen 50	best -261.755	worst -761.903
gen 51	best -178.478	worst -840.08
gen 52	best -184.847	worst -771.54
gen 53	best -149.195	worst -763.034
gen 54	best -60.2053	worst -899.764
gen 55	best -229.158	worst -1017.05
gen 56	best -162.486	worst -841.828
gen 57	best -241.099	worst -1025.91
gen 58	best -168.756	worst -755.438
gen 59	best -130.091	worst -821.548
gen 60	best -105.253	worst -1003.73
gen 61	best -84.4043	worst -886.207
gen 62	best -98.9566	worst -1132.77
gen 63	best -220.839	worst -817.735
gen 64	best -342.372	worst -1072.98
gen 65	best -96.4099	worst -712.758
gen 66	best -212.046	worst -629.135
gen 67	best -446.42	worst -1053.82
gen 68	best -250.181	worst -1066.73
gen 69	best -119.566	worst -846.282
gen 70	best -89.1997	worst -917.188
gen 71	best -371.894	worst -1077.94
gen 72	best -214.469	worst -1188.71
gen 73	best -181.678	worst -917.116
gen 74	best -199.743	worst -908.466
gen 75	best -202.48	worst -788.943
gen 76	best -215.468	worst -802.637
gen 77	best -158.579	worst -911.825
gen 78	best -207.941	worst -869.071
gen 79	best -133.149	worst -860.694
gen 80	best -192.408	worst -646.723
gen 81	best -165.663	worst -827.751
gen 82	best -139.175	worst -757.234
gen 83	best -118.382	worst -936.087
gen 84	best -42.0255	worst -943.922
gen 85	best -380.338	worst -984.034
gen 86	best -86.8347	worst -863.895
gen 87	best -199.074	worst -1211.29
gen 88	best -93.8738	worst -1069.25
gen 89	best -82.3774	worst -958.533
gen 90	best -151.826	worst -693.266
gen 91	best -122.391	worst -785.59
gen 92	best -101.626	worst -1036.87
gen 93	best -139.171	worst -1069.15
gen 94	best -561.765	worst -1087.88
gen 95	best -121.899	worst -755.153
gen 96	best -188.095	worst -948.016
gen 97	best -264.681	worst -933.77
gen 98	best -230.784	worst -1031.2
gen 99	best -204.192	worst -872.178
gen 100	best -342.584	worst -912.945
gen 101	best -299.853	worst -957.196
gen 102	best -392.379	worst -1117.66
gen 103	best -125.549	worst -812.262
gen 104	best -129.881	worst -851.34
gen 105	best -139.851	worst -821.062
gen 106	best -104.134	worst -810.968
gen 107	best -250.017	worst -984.486
gen 108	best -128.876	worst -775.34
gen 109	best -150.387	worst -729.754
gen 110	best -167.84	worst -700.007
gen 111	best -282.163	worst -1326.58
gen 112	best -183.884	worst -683.287
gen 113	best -235.86	worst -921.376
gen 114	best -104.336	worst -818.838
gen 115	best -253.853	worst -1268.78
gen 116	best -252.268	worst -766.452
gen 117	best -167.011	worst -859.18
gen 118	best -191.707	worst -688.027
gen 119	best -96.53	worst -890.259
gen 120	best -154.988	worst -706.644
gen 121	best -69.9651	worst -963.729
gen 122	best -311.716	worst -964.541
gen 123	best -124.266	worst -814.022
gen 124	best -137.601	worst -983.688
gen 125	best -91.8421	worst -674.791
gen 126	best -210.534	worst -960.937
gen 127	best -144.011	worst -663.593
gen 128	best -95.2687	worst -643.486
gen 129	best -229.675	worst -702.711
gen 130	best -103.511	worst -807.739
gen 131	best -321.642	worst -867.258
gen 132	best -76.2927	worst -736.048
gen 133	best -235.702	worst -791.281
gen 134	best -89.8087	worst -727.764
gen 135	best -257.394	worst -1090.9
gen 136	best -118.404	worst -849.581
gen 137	best -74.8259	worst -945.786
gen 138	best -50.105	worst -993.554
gen 139	best -124.362	worst -824.084
gen 140	best -88.9014	worst -1117.3
gen 141	best -94.8632	worst -1017.8
gen 142	best -559.112	worst -856.857
gen 143	best -252.93	worst -763.869
gen 144	best -251.19	worst -707.031
gen 145	best -95.2018	worst -866.642
gen 146	best -148.26	worst -906.245
gen 147	best -150.445	worst -1033.59
gen 148	best -262.511	worst -663.102
gen 149	best -158.477	worst -872.54
gen 150	best -229.396	worst -792.652
gen 151	best -115.956	worst -1010.61
gen 152	best -94.3438	worst -921.314
gen 153	best -412.579	worst -918.764
gen 154	best -145.078	worst -992.965
gen 155	best -184.408	worst -780.789
gen 156	best -217.539	worst -820.235
gen 157	best -82.06	worst -777.876
gen 158	best -380.815	worst -716.373
gen 159	best -230.061	worst -788.97
gen 160	best -204.678	worst -740.921
gen 161	best -110.842	worst -745.216
gen 162	best -188.599	worst -709.292
gen 163	best -339.123	worst -907.438
gen 164	best -117.613	worst -888.442
gen 165	best -265.705	worst -1102.73
gen 166	best -177.183	worst -923.698
gen 167	best -204.196	worst -948.55
gen 168	best -163.992	worst -708.73
gen 169	best -402.807	worst -1045.01
gen 170	best -151.221	worst -833.048
gen 171	best -258.314	worst -787.503
gen 172	best -205.379	worst -783.249
gen 173	best -148.286	worst -1043.18
gen 174	best -223.634	worst -775.533
gen 175	best -114.712	worst -864.204
gen 176	best -154.895	worst -911.424
gen 177	best -336.433	worst -885.007
gen 178	best -292.955	worst -936.892
gen 179	best -150.827	worst -781.47
gen 180	best -54.7065	worst -731.811
gen 181	best -270.628	worst -927.565
gen 182	best -183.735	worst -793.249
gen 183	best -195.702	worst -1034.33
gen 184	best -143.042	worst -764.399
gen 185	best -130.798	worst -926.815
gen 186	best -127.545	worst -623.731
gen 187	best -332.433	worst -1133.13
gen 188	best -129.268	worst -767.097
gen 189	best -616.504	worst -1072.93
gen 190	best -117.759	worst -680.188
gen 191	best -163.064	worst -930.826
gen 192	best -106.242	worst -1070.19
gen 193	best -85.0753	worst -851.154
gen 194	best -148.092	worst -849.146
gen 195	best -188.154	worst -1007.05
gen 196	best -250.133	worst -949.411
gen 197	best -379.265	worst -858.676
gen 198	best -105.942	worst -813.657
gen 199	best -148.176	worst -921.694
gen 200	best -332.984	worst -924.811
gen 201	best -182.125	worst -794.201
gen 202	best -209.599	worst -761.371
gen 203	best -180.904	worst -700.909
gen 204	best -281.19	worst -954.98
gen 205	best -118.116	worst -687.293
gen 206	best -277.761	worst -882.587
gen 207	best -225.393	worst -822.936
gen 208	best -189.782	worst -693.256
gen 209	best -422.82	worst -897.284
gen 210	best -311.002	worst -1000.05
gen 211	best -482.003	worst -980.295
gen 212	best -93.2989	worst -617.467
gen 213	best -393.851	worst -842.031
gen 214	best -181.427	worst -1053.94
