gen 175	best -125.683	worst -721.316
gen 176	best -276.179	worst -774.821
gen 177	best -174.744	worst -742.364
gen 178	best -174.716	worst -603.556
gen 179	best -142.126	worst -569.172
gen 180	best -388.056	worst -638.387
gen 181	best -95.3123	worst -908.74
gen 182	best -393.897	worst -1044.42
gen 183	best -85.3867	worst -885.838
gen 184	best -141.082	worst -753.416
gen 185	best -189.662	worst -785.576
gen 186	best -86.613	worst -726.941
gen 187	best -164.934	worst -809.508
gen 188	best -350.647	worst -934.655
gen 189	best -133.155	worst -473.734
gen 190	best -151.586	worst -917.387
gen 191	best -319.682	worst -935.685
gen 192	best -75.3836	worst -933.115
gen 193	best -78.6251	worst -900.524
gen 194	best -198.266	worst -615.543
gen 195	best -233.499	worst -705.32
gen 196	best -109.955	worst -851.73
gen 197	best -248.748	worst -873.16
gen 198	best -132.337	worst -811.101
gen 199	best -220.378	worst -914.327
gen 200	best -140.803	worst -1041.98
gen 201	best -48.5422	worst -918.729
gen 202	best -116.813	worst -887.455
gen 203	best -198.261	worst -939.8
gen 204	best -54.0892	worst -905.911
gen 205	best -211.177	worst -926.697
gen 206	best -273.401	worst -770.571
gen 207	best -315.249	worst -925.756
gen 208	best -271.839	worst -1043.92
gen 209	best -68.2059	worst -636.858
gen 210	best -87.7718	worst -902.426
gen 211	best -111.459	worst -709.337
gen 212	best -114.471	worst -787.934
gen 213	best -89.8381	worst -830.813
gen 214	best -141.068	worst -1103.38
gen 215	best -302.309	worst -971.131
gen 216	best -104.588	worst -800.271
gen 217	best -176.146	worst -780.206
gen 218	best -104.87	worst -979.142
gen 219	best -187.522	worst -684.482
gen 220	best -125.873	worst -847.418
gen 221	best -62.8155	worst -945.299
gen 222	best -137.232	worst -891.678
gen 223	best -113.785	worst -951.997
gen 224	best -103.954	worst -983.84
gen 225	best -172.804	worst -990.682
gen 226	best -146.378	worst -925.162
gen 227	best -175.879	worst -913.461
gen 228	best -128.127	worst -953.747
gen 229	best -173.25	worst -872.198
gen 230	best -160.147	worst -803.298
gen 231	best -259.972	worst -878.332
gen 232	best -95.1632	worst -835.587
gen 233	best -166.585	worst -689.912
gen 234	best -113.947	worst -721.323
gen 235	best -342.85	worst -862.597
gen 236	best -169.689	worst -752.29
