gen 0	best -51.7784	worst -987.172
gen 1	best -90.7657	worst -930.808
gen 2	best -378.476	worst -1472.58
gen 3	best -198.691	worst -942.116
gen 4	best -107.564	worst -831.693
gen 5	best -295.996	worst -857.401
gen 6	best -93.9944	worst -994.581
gen 7	best -183.204	worst -1235.55
gen 8	best -100.165	worst -2262.4
gen 9	best -238.809	worst -848.238
gen 10	best -214.463	worst -921.48
gen 11	best -146.48	worst -1155.7
gen 12	best -208.664	worst -924.823
gen 13	best -116.281	worst -909.876
gen 14	best -175.475	worst -1391.67
gen 15	best -136.332	worst -1286.22
gen 16	best -368.635	worst -1012.04
gen 17	best -141.542	worst -589.234
gen 18	best -164.695	worst -1292.19
gen 19	best -129.329	worst -736.278
gen 20	best -196.596	worst -941.863
gen 21	best -192.273	worst -1246.88
gen 22	best -368.334	worst -1369.42
gen 23	best -183.321	worst -1135.66
gen 24	best -92.1669	worst -975.795
gen 25	best -128.836	worst -1131.97
gen 26	best -143.946	worst -958.47
gen 27	best -169.395	worst -949.731
gen 28	best -178.7	worst -1126.49
gen 29	best -135.231	worst -943.798
gen 30	best -176.131	worst -942.848
gen 31	best -154.446	worst -1185.52
gen 32	best -132.315	worst -934.127
gen 33	best -234.693	worst -1814.62
gen 34	best -146.741	worst -726.775
gen 35	best -107.81	worst -1046.38
gen 36	best -71.9176	worst -938.279
gen 37	best -72.6288	worst -1108.78
gen 38	best -108.758	worst -641.045
gen 39	best -154.604	worst -730.25
gen 40	best -216.632	worst -1029.21
gen 41	best -71.9626	worst -834.717
gen 42	best -226.074	worst -684.335
gen 43	best -328.797	worst -1282.51
gen 44	best -115.714	worst -1385.86
gen 45	best -165.149	worst -1561.46
gen 46	best -83.1932	worst -1055
gen 47	best -152.315	worst -2298.33
gen 48	best -106.933	worst -1140.13
gen 49	best -163.644	worst -1075.86
gen 50	best -196.757	worst -1953.88
gen 51	best -94.6816	worst -1369.66
gen 52	best -106.477	worst -751.305
gen 53	best -176.646	worst -914.492
gen 54	best -184.901	worst -751.343
gen 55	best -77.8333	worst -975.512
gen 56	best -67.2787	worst -1032.93
gen 57	best -157.31	worst -885.582
gen 58	best -274.291	worst -1338.16
gen 59	best -188.578	worst -1049.2
gen 60	best -114.089	worst -2221.28
gen 61	best -190.327	worst -1067.99
gen 62	best -116.8	worst -1372.8
gen 63	best -186.849	worst -1066.69
gen 64	best -172.699	worst -897.878
gen 65	best -92.669	worst -889.352
gen 66	best -161.554	worst -717.069
gen 67	best -79.7812	worst -871.815
gen 68	best -157.039	worst -1440.43
gen 69	best -55.3874	worst -973.817
gen 70	best -170.453	worst -943.617
gen 71	best -167.36	worst -1372.02
gen 72	best -154.652	worst -1171.94
gen 73	best -112.923	worst -1289.09
gen 74	best -217.027	worst -988.707
gen 75	best -251.211	worst -1406.49
gen 76	best -244.009	worst -715.239
gen 77	best -182.686	worst -1408.32
gen 78	best -100.153	worst -1007.84
gen 79	best -319.165	worst -1356.02
gen 80	best -94.6461	worst -1245.97
gen 81	best -170.651	worst -1161
gen 82	best -177.504	worst -856.84
gen 83	best -111.83	worst -897.816
gen 84	best -158.98	worst -995.256
gen 85	best -151.395	worst -1679.22
gen 86	best -155.662	worst -862.174
gen 87	best -195.907	worst -730.828
gen 88	best -96.3888	worst -940.206
gen 89	best -101.278	worst -1073.69
gen 90	best -168.189	worst -848.085
gen 91	best -100.186	worst -889.343
gen 92	best -232.234	worst -1022.45
gen 93	best -188.833	worst -807.343
gen 94	best -343.867	worst -1258.63
gen 95	best -117.593	worst -742.525
gen 96	best -91.6792	worst -896.137
gen 97	best -253.288	worst -1506.09
gen 98	best -123.356	worst -754.187
gen 99	best -129.564	worst -1172.48
gen 100	best -243.913	worst -991.731
gen 101	best -162.315	worst -669.61
gen 102	best -216.46	worst -928.611
gen 103	best -416.701	worst -1193.57
gen 104	best -245.118	worst -1425.63
gen 105	best -217.265	worst -964.519
gen 106	best -126.717	worst -943.752
gen 107	best -190.134	worst -885.017
gen 108	best -214.078	worst -1047.23
gen 109	best -187.343	worst -1155.27
gen 110	best -187.296	worst -909.108
gen 111	best -168.999	worst -878.76
gen 112	best -126.09	worst -758.368
gen 113	best -275.947	worst -1054.67
gen 114	best -173.787	worst -766.557
gen 115	best -82.4919	worst -705.688
gen 116	best -97.6875	worst -812.826
gen 117	best -231.073	worst -850.547
gen 118	best -192.727	worst -1037.49
gen 119	best -180.42	worst -1063.35
gen 120	best -95.0816	worst -868.422
gen 121	best -131.764	worst -872.988
gen 122	best -77.912	worst -861.156
gen 123	best -188.293	worst -906.598
gen 124	best -138.231	worst -869.668
gen 125	best -178.572	worst -884.963
gen 126	best -191.664	worst -790.328
gen 127	best -92.1523	worst -823.1
gen 128	best -221.918	worst -800.069
gen 129	best -197.993	worst -805.45
gen 130	best -182.194	worst -608.354
gen 131	best -161.869	worst -959.701
gen 132	best -213.115	worst -953.25
gen 133	best -99.5893	worst -755.161
gen 134	best -136.355	worst -907.36
gen 135	best -297.471	worst -916.986
gen 136	best -57.7734	worst -803.586
gen 137	best -183.276	worst -909.301
gen 138	best -146.889	worst -927.861
gen 139	best -162.494	worst -1044.13
gen 140	best -173.966	worst -727.172
gen 141	best -206.889	worst -845.142
gen 142	best -235.291	worst -769.623
gen 143	best -221.674	worst -876.308
gen 144	best -123.094	worst -778.977
gen 145	best -120.378	worst -753.283
gen 146	best -132.224	worst -726.768
gen 147	best -130.042	worst -682.656
gen 148	best -81.889	worst -682.392
gen 149	best -172.399	worst -724.357
gen 150	best -134.994	worst -905.009
gen 151	best -248.122	worst -930.19
gen 152	best -146.246	worst -1049.43
gen 153	best -73.8462	worst -796.06
gen 154	best -156.763	worst -725.592
gen 155	best -310.665	worst -1122.37
gen 156	best -196.795	worst -889.098
gen 157	best -108.191	worst -632.548
gen 158	best -139.837	worst -701.998
gen 159	best -206.711	worst -1056.95
gen 160	best -152.631	worst -952.783
gen 161	best -118.568	worst -827.362
gen 162	best -131.096	worst -835.179
gen 163	best -125.408	worst -905.748
gen 164	best -139.051	worst -662.362
gen 165	best -146.324	worst -811.912
gen 166	best -297.026	worst -797.337
gen 167	best -188.319	worst -705.472
gen 168	best -97.7706	worst -777.144
gen 169	best -488.11	worst -1196.06
